number,video_id,title_modify,fm,to,min,dd_mmm,title_origin
24,L8xqajFn_4A,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 47-48 ,47,48,28,18-Aug,สามก๊ก ฉบับนักบริหาร
25,0_0XKR0L9Hw,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 49-50 ,49,50,31,19-Aug,สามก๊ก ฉบับนักบริหาร
26,oYbMRcWUURY,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 51-52 ,51,52,30,20-Aug,สามก๊ก ฉบับนักบริหาร
27,7wNtEuCxaJE,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 53-54",53,54,30,21-Aug,สามก๊ก ฉบับนักบริหาร
28,Zl98E6WVdT4,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 55-56",55,56,27,22-Aug,สามก๊ก ฉบับนักบริหาร
29,UnfXo6nQfZg,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 57-58",57,58,28,23-Aug,สามก๊ก ฉบับนักบริหาร
30,0Xv_cDtam6w,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 59-60",59,60,30,24-Aug,สามก๊ก ฉบับนักบริหาร
31,J16C2eXORLQ,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 61-62",61,62,31,25-Aug,สามก๊ก ฉบับนักบริหาร
32,XpTzfuMxSRw,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 63-64",63,64,27,26-Aug,สามก๊ก ฉบับนักบริหาร
33,XSNobNnb9Hk,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 65-66",65,66,27,27-Aug,สามก๊ก ฉบับนักบริหาร
34,qCgTQxYtUdg,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 67-68",67,68,30,28-Aug,สามก๊ก ฉบับนักบริหาร
35,2puYMEryX8Q,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 69-70",69,70,28,29-Aug,สามก๊ก ฉบับนักบริหาร
36,mGAloAbEqtc,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 71-72",71,72,26,30-Aug,สามก๊ก ฉบับนักบริหาร
37,qfxOhTD00wY,"อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 73-74",73,74,30,31-Aug,สามก๊ก ฉบับนักบริหาร
38,i3PgrVKpOeU,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 75-76",75,76,29,01-Sep,สามก๊ก ฉบับนักบริหาร
39,gylTdYCqoHI,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 77-78",77,78,30,02-Sep,สามก๊ก ฉบับนักบริหาร
40,dAnG-cO8IGU,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 79-80",79,80,30,03-Sep,สามก๊ก ฉบับนักบริหาร
41,KWOtye5_VLo,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 81-82",81,82,30,04-Sep,สามก๊ก ฉบับนักบริหาร
42,5VbHA7K7ndA,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 83-84",83,84,29,05-Sep,สามก๊ก ฉบับนักบริหาร
43,BbAJssdUtcw,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 85-86",85,86,30,06-Sep,สามก๊ก ฉบับนักบริหาร
44,4tKKVQe22L0,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 87-88",87,88,30,07-Sep,สามก๊ก ฉบับนักบริหาร
45,qeLSkw-J4bI,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 89-89",89,89,25,08-Sep,สามก๊ก ฉบับนักบริหาร
46,3lwUSwm-zfQ,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 90-91 ",90,91,30,09-Sep,สามก๊ก ฉบับนักบริหาร
47,q2il5jAIoKc,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 92 - 93 ",92,93,28,10-Sep,สามก๊ก ฉบับนักบริหาร
48,2ZQw4IVTdZQ,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 94 - 95 ",94,95,28,11-Sep,สามก๊ก ฉบับนักบริหาร
49,5grQmBixgAI,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 96 - 97 ",96,97,30,12-Sep,สามก๊ก ฉบับนักบริหาร
50,lvPbrAEfvaU,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 98-99",98,99,28,13-Sep,สามก๊ก ฉบับนักบริหาร
51,saMEAErx8cg,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 100-101",100,101,31,14-Sep,สามก๊ก ฉบับนักบริหาร
52,THEl87er9QE,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 102-103",102,103,30,15-Sep,สามก๊ก ฉบับนักบริหาร
53,F8Qb5ZMA7UM,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 104-105",104,105,30,16-Sep,สามก๊ก ฉบับนักบริหาร
54,zdnbKFuK4QE,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 106-107",106,107,28,17-Sep,สามก๊ก ฉบับนักบริหาร
55,7vDllPl1Pm8,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 108-109",108,109,28,18-Sep,สามก๊ก ฉบับนักบริหาร
56,C1HcBnwiAh0,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 110-111 ,110,111,26,19-Sep,สามก๊ก ฉบับนักบริหาร
57,uyp7ejHTuvk,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 112-113 ,112,113,27,20-Sep,สามก๊ก ฉบับนักบริหาร
58,xQ2q_8t5wmg,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 114-115 ,114,115,26,21-Sep,สามก๊ก ฉบับนักบริหาร
59,-AhZNGPr7x8,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 116-117",116,117,28,22-Sep,สามก๊ก ฉบับนักบริหาร
60,LRaj76I6jlI,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 118-119",118,119,31,23-Sep,สามก๊ก ฉบับนักบริหาร
61,yv8x5BdHrOk,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 120-121",120,121,31,24-Sep,สามก๊ก ฉบับนักบริหาร
62,q2PLRl8LL1U,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 122-123",122,123,28,25-Sep,สามก๊ก ฉบับนักบริหาร
63,t5VYQGwGJ0k,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 124-125",124,125,29,26-Sep,สามก๊ก ฉบับนักบริหาร
64,_2_ShpSiUu0,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 126-127",126,127,26,27-Sep,สามก๊ก ฉบับนักบริหาร
65,zK16VDUya9Q,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 128-129",128,129,27,28-Sep,สามก๊ก ฉบับนักบริหาร
66,m6nzUSxXMBs,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 130-131",130,131,27,29-Sep,สามก๊ก ฉบับนักบริหาร
67,ZWHDaWQCe_s,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 132-133",132,133,26,30-Sep,สามก๊ก ฉบับนักบริหาร
68,udhGXvpDjes,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 134-135",134,135,27,01-Oct,สามก๊ก ฉบับนักบริหาร
69,vs1n9j3kWwY,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 136-137",136,137,26,02-Oct,สามก๊ก ฉบับนักบริหาร
70,F5Vm2gFFCJI,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 138-138",138,138,27,03-Oct,สามก๊ก ฉบับนักบริหาร
