id,title,videoId,chapters
27,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 53-54,7wNtEuCxaJE,53-54
28,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 55-56,Zl98E6WVdT4,55-56
29,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 57-58,UnfXo6nQfZg,57-58
30,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 59-60,0Xv_cDtam6w,59-60
31,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 61-62,J16C2eXORLQ,61-62
32,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 63-64,XpTzfuMxSRw,63-64
33,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 65-66,XSNobNnb9Hk,65-66
34,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 67-68,qCgTQxYtUdg,67-68
35,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 69-70,2puYMEryX8Q,69-70
36,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 71-72,mGAloAbEqtc,71-72
37,อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 73-74,qfxOhTD00wY,73-74
38,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 75-76,i3PgrVKpOeU,75-76
39,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 77-78,gylTdYCqoHI,77-78
40,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 79-80,dAnG-cO8IGU,79-80
41,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 81-82,KWOtye5_VLo,81-82
42,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 83-84,5VbHA7K7ndA,83-84
43,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 85-86,BbAJssdUtcw,85-86
44,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 87-88,4tKKVQe22L0,87-88
45,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 89-89,qeLSkw-J4bI,89-89
46,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 90-91 ,3lwUSwm-zfQ,90-91
47,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 92 - 93 ,q2il5jAIoKc,92-93
48,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 94 - 95 ,2ZQw4IVTdZQ,94-95
49,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 96 - 97 ,5grQmBixgAI,96-97
50,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 98-99,lvPbrAEfvaU,98-99
51,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 100-101,saMEAErx8cg,100-101
52,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 102-103,THEl87er9QE,102-103
53,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 104-105,F8Qb5ZMA7UM,104-105
54,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 106-107,zdnbKFuK4QE,106-107
55,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 108-109,7vDllPl1Pm8,108-109
56,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 110-111 ,C1HcBnwiAh0,110-111
57,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 112-113 ,uyp7ejHTuvk,112-113
58,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 114-115 ,xQ2q_8t5wmg,114-115
59,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 116-117,-AhZNGPr7x8,116-117
60,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 118-119,LRaj76I6jlI,118-119
61,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 120-121,yv8x5BdHrOk,120-121
62,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 122-123,q2PLRl8LL1U,122-123
63,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 124-125,t5VYQGwGJ0k,124-125
64,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 126-127,_2_ShpSiUu0,126-127
65,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 128-129,zK16VDUya9Q,128-129
66,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 130-131,m6nzUSxXMBs,130-131
67,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 132-133,ZWHDaWQCe_s,132-133
68,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 134-135,udhGXvpDjes,134-135
69,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 136-137,vs1n9j3kWwY,136-137
70,สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 138-138,F5Vm2gFFCJI,138-138
